Date,state,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
2019-01-02,MD,1058131.0,4966119.0,22109506.0,5697627.0,5334953.0,2540480.0,3398624.0,3456837.0,1246196.0,274720.0,97639.0,25712.0,36718.0
2019-01-02,ME,278983.0,1055331.0,4082979.0,834343.0,1010484.0,514724.0,626458.0,683118.0,275579.0,90877.0,35577.0,6919.0,4900.0
2019-01-02,RI,196224.0,857859.0,3636158.0,851295.0,946999.0,452770.0,577757.0,573097.0,173282.0,40976.0,12960.0,2466.0,4556.0
2019-01-02,SC,845642.0,4222941.0,16292833.0,3669533.0,4085756.0,2043457.0,2640475.0,2648811.0,788219.0,240755.0,127892.0,29365.0,18570.0
2019-01-02,IL,2548222.0,10153911.0,48322386.0,12507348.0,11999756.0,5809403.0,7206686.0,7212116.0,2525987.0,582941.0,322723.0,90496.0,64930.0
2019-01-02,IN,1225521.0,5445905.0,23500378.0,5532923.0,5937478.0,2969221.0,3641794.0,3570524.0,1187424.0,380378.0,208714.0,45113.0,26809.0
2019-01-02,IA,592218.0,2554279.0,11210193.0,2517485.0,2975901.0,1349566.0,1635107.0,1647608.0,669751.0,245624.0,118221.0,32448.0,18482.0
2019-01-02,KS,559905.0,2342696.0,10899430.0,2671280.0,2885835.0,1279765.0,1577778.0,1575643.0,577935.0,198098.0,94368.0,24625.0,14103.0
2019-01-02,KY,835821.0,3618921.0,16357174.0,3633094.0,4130444.0,2173357.0,2610686.0,2450770.0,856021.0,302720.0,155405.0,32947.0,11730.0
2019-01-02,MI,1823200.0,8142163.0,34065071.0,8033055.0,8241397.0,4183973.0,5355150.0,5468709.0,1868612.0,547890.0,247794.0,61156.0,57335.0
2019-01-02,MN,999164.0,4594867.0,20024328.0,4599433.0,4779143.0,2320660.0,3039570.0,3494070.0,1151921.0,369683.0,184207.0,45613.0,40028.0
2019-01-02,MS,473336.0,2504068.0,9169282.0,2179811.0,2312326.0,1061679.0,1415081.0,1346623.0,519673.0,206702.0,96753.0,25045.0,5589.0
2019-01-02,MO,1208355.0,4899370.0,21216879.0,4898379.0,5288843.0,2534419.0,3281371.0,3436884.0,1197641.0,338063.0,166691.0,47397.0,27191.0
2019-01-02,MT,224625.0,834433.0,3515781.0,918135.0,1038501.0,419465.0,432419.0,391734.0,162267.0,87906.0,46080.0,11578.0,7696.0
2019-01-02,NE,351278.0,1572096.0,6925268.0,1564978.0,1875100.0,908799.0,1125262.0,898994.0,308834.0,151797.0,64211.0,17977.0,9316.0
2019-01-02,NV,624619.0,2400498.0,11158466.0,3431160.0,2682859.0,1299212.0,1747659.0,1466957.0,294787.0,114576.0,77181.0,26889.0,17186.0
2019-01-02,LA,813961.0,3831770.0,17144230.0,4546989.0,4314226.0,2113654.0,2640779.0,2258276.0,805790.0,320272.0,109192.0,23410.0,11642.0
2019-01-02,TX,4882450.0,23731661.0,89703213.0,24289074.0,22269427.0,10324911.0,12836646.0,12993603.0,4586731.0,1397584.0,710276.0,199113.0,95848.0
2019-01-02,UT,605881.0,2545560.0,11871303.0,2953033.0,3105604.0,1485688.0,1752418.0,1584025.0,617343.0,187584.0,110063.0,46031.0,29514.0
2019-01-02,VT,125868.0,498516.0,2148019.0,456613.0,548980.0,287792.0,325608.0,336249.0,134018.0,34587.0,17357.0,3589.0,3226.0
2019-01-02,NY,4621576.0,14860900.0,78534045.0,22450364.0,18946518.0,9502987.0,12146370.0,10923941.0,3131633.0,928570.0,320163.0,75582.0,107917.0
2019-01-02,PA,2457011.0,10310904.0,43142601.0,10457753.0,10718256.0,5335184.0,6864051.0,6595451.0,2043029.0,704377.0,334588.0,52983.0,36929.0
